"N","times","delta_t","mi"
328,20,0.06103515625,0.1916505342810524
492,30,0.06103515625,0.2099867098172581
655,40,0.06103515625,0.22820778878212877
819,50,0.06103515625,0.2465378690194484
983,60,0.06103515625,0.26486560003286286
1147,70,0.06103515625,0.2831913559039094
1311,80,0.06103515625,0.3015154511003857
1475,90,0.06103515625,0.3198381500069445
1638,100,0.06103515625,0.33804796141794213
1802,110,0.06103515625,0.35636850478476845
1966,120,0.06103515625,0.3746882172436017
2130,130,0.06103515625,0.39300723114411085
2294,140,0.06103515625,0.4113256576574713
2458,150,0.06103515625,0.42964359030884225
2621,160,0.06103515625,0.4478494166251039
2785,170,0.06103515625,0.4661665868425189
2949,180,0.06103515625,0.4844834632203856
3113,190,0.06103515625,0.5028000924230582
3277,200,0.06103515625,0.5211165139226068
3441,210,0.06103515625,0.5394327606591105
3604,220,0.06103515625,0.5576371774186555
3768,230,0.06103515625,0.5759531544517813
3932,240,0.06103515625,0.5942690275933273
4096,250,0.06103515625,0.6125848132633109
4260,260,0.06103515625,0.6309005255261582
4424,270,0.06103515625,0.6492161758433213
4588,280,0.06103515625,0.6675317743392952
4751,290,0.06103515625,0.6857356489708764
4915,300,0.06103515625,0.7040511672057619
5079,310,0.06103515625,0.7223666545578453
5243,320,0.06103515625,0.7406821158765524
5407,330,0.06103515625,0.7589975553455588
5571,340,0.06103515625,0.7773129765009799
5734,350,0.06103515625,0.7955167027212156
5898,360,0.06103515625,0.8138320955658855
6062,370,0.06103515625,0.8321474772565125
6226,380,0.06103515625,0.8504628497685189
6390,390,0.06103515625,0.8687782146371319
6554,400,0.06103515625,0.8870935728446057
6717,410,0.06103515625,0.9052972468598455
6881,420,0.06103515625,0.923612595157465
7045,430,0.06103515625,0.9419279397043283
7209,440,0.06103515625,0.9602432808205776
7373,450,0.06103515625,0.9785586190009781
7537,460,0.06103515625,0.9968739553441992
7700,470,0.06103515625,1.0150776105765544
7864,480,0.06103515625,1.0333929432126752
8028,490,0.06103515625,1.0517082745718653
8192,500,0.06103515625,1.0700236045413476
