"TauL","InfoRate","InstantaneousInfo"
0.01,8.222148531876883,0.001548099615272136
0.011513953993264475,8.959826464115395,0.0022830743525732444
0.013257113655901088,9.653355780892525,0.003321345116803265
0.015264179671752334,10.290974696772537,0.004764464220359699
0.017575106248547922,10.86300261690667,0.006737256955830162
0.020235896477251564,11.362042253995241,0.009388954445172182
0.023299518105153717,11.783069078592234,0.012892851321579357
0.02682695795279726,12.123397592358742,0.017444144772303716
0.030888435964774818,12.382530975128248,0.02325576875312141
0.03556480306223129,12.561916054664835,0.03055224951317026
0.040949150623804255,12.66463470783492,0.03956183922906931
0.04714866363457394,12.695064901208752,0.050507388491028316
0.054286754393238594,12.658540985103173,0.06359655475083237
0.06250551925273973,12.561035995940983,0.07901198725685266
0.07196856730011521,12.408880873954331,0.0969020753043095
0.08286427728546843,12.208528293012932,0.1173727114433607
0.09540954763499938,11.966363057513263,0.1404803331341995
0.10985411419875583,11.68855697210347,0.16622629799939315
0.12648552168552962,11.380963642932329,0.19455244956254703
0.14563484775012436,11.049047461574446,0.22533756694265783
0.16768329368110083,10.69784069375146,0.25839428345264803
0.193069772888325,10.331922884824962,0.2934660240603524
0.2222996482526195,9.955417382138876,0.33022357147215686
0.2559547922699536,9.572000497450972,0.3682610522323486
0.29470517025518106,9.18491963066117,0.407091470634815
0.33932217718953284,8.797017371898619,0.446142441942321
0.3906939937054617,8.410759261255407,0.48475350133911643
0.4498432668969446,8.028263432356653,0.5221772501417128
0.5179474679231212,7.651330818475799,0.5575874933317015
0.5963623316594643,7.281474979981795,0.5900980956370594
0.6866488450043001,6.919950881228942,0.618796016329318
0.79060432109077,6.56778219838543,0.6427902714027853
0.9102981779915219,6.225786891377538,0.6612750557118368
1.0481131341546857,5.894600900705882,0.6736003272806457
1.2067926406393286,5.574699938460981,0.6793383300284175
1.3894954943731377,5.266419391818999,0.6783321799465725
1.599858719606058,4.969972407570822,0.670714773938788
1.8420699693267162,4.685466253681625,0.6568929828162711
2.120950887920191,4.412917074614597,0.6375009216271206
2.442053094548651,4.152263154219327,0.613333322523709
2.8117686979742307,3.903376805760672,0.5852729188324872
3.237457542817644,3.6660750058217673,0.5542239901684294
3.72759372031494,3.4401288777416994,0.5210596321641754
4.291934260128778,3.225272119084366,0.48658530927891963
4.941713361323834,3.021208457244029,0.45151750234497534
5.689866029018296,2.8276182175204667,0.41647430861804224
6.551285568595509,2.644164063053722,0.38197440017026096
7.543120063354617,2.4704959770247115,0.34844119581198374
8.685113737513527,2.306255541259361,0.3162099050139515
10.0,2.1510795819267514,0.28553590555678365
