"g","Lmax","α","β","extrapolation"
0.0001,2,-2.9449270008729844e-6,0.00019944875795763865,0.001556499734548036
0.0001,3,-5.459076646704363e-8,2.5500018955037308e-5,0.00022507831851150523
0.0001,4,1.2946303437705083e-6,2.5958975830922728e-5,0.00033849584032371574
0.0001,5,-1.1362370609837507e-8,3.258424365675969e-5,0.0002923378408914404
0.0001,6,1.867287543985756e-8,8.433731164419883e-6,7.74160833904074e-5
0.0001,7,2.150755895927779e-9,4.201967780978171e-5,0.00037835131151560554
0.0001,9,-8.118972292014272e-8,9.286895102759098e-5,0.0008292441916917873
0.0001,11,2.6064302879809987e-8,9.430194789034978e-5,0.0008508287395464126
0.0001,13,-1.5994934342493771e-7,0.0001827424757152877,0.0016317263846201695
0.0001,15,-1.595236003830442e-7,0.00023407933932216647,0.0020937926422684716
0.0002,2,-1.866754431231395e-7,7.655910508873166e-5,0.0006739112349056106
0.0002,3,-8.101523413068288e-8,5.4509233306858393e-5,0.0004840208657971402
0.0002,4,-1.042180455460742e-6,0.00021848433294849732,0.0018819423796441557
0.0002,5,-8.931755698777332e-8,0.00012346442163399426,0.0011039450725899387
0.0002,6,-3.084340413578767e-6,0.00027418736762892915,0.002217854735160482
0.0002,7,-4.312244130669805e-8,0.00016678222176943992,0.0014975470781791167
0.0002,9,-1.8851237315859031e-7,0.0003010838964882975,0.0026944855661688314
0.0002,11,-3.328372461770196e-7,0.0004684352370864262,0.004188957316837497
0.0002,13,-4.2013673531904895e-7,0.0006051820141503777,0.005412607051792557
0.0002,15,-5.975777358676811e-7,0.0008141735300693885,0.007279157974019214
0.0003,2,-2.8924049842682447e-6,0.00018594032041724428,0.0014391780800294706
0.0003,3,-1.2686917489796434e-7,0.00010440694150101692,0.0009293860703424171
0.0003,4,-3.3794346314118144e-6,0.00032912865808791216,0.002688423717646852
0.0003,5,-1.3812864232362617e-7,0.00023432506133836553,0.002097737132017076
0.0003,6,6.625781175836785e-6,-0.00011429053516440095,-0.000491926541236829
0.0003,7,-2.95292130028039e-7,0.0004173269166769462,0.0037320235875602445
0.0003,9,-4.6301867455383983e-7,0.000659225857388315,0.005895528203855974
0.0003,11,-7.826093846213062e-7,0.0009594425804736745,0.008571591864108745
0.0003,13,-1.338147142707192e-6,0.0013666858370990024,0.012191782615331739
0.0003,15,-1.7697098091167005e-6,0.0017360473663541355,0.015481079802648767
0.0004,2,7.338600179204127e-7,6.055873598860089e-5,0.0006044712853489613
0.0004,3,-1.6537570183229686e-7,0.00017372198668320698,0.0015501024483004467
0.0004,4,8.144093996254084e-6,-0.0001862424442165956,-0.0010165103842527798
0.0004,5,-3.087724532744863e-7,0.00040275427572202617,0.003599777912783002
0.0004,6,-1.8714091230220728e-6,0.0006272528835765778,0.0054936918132244125
0.0004,7,-8.095512443658776e-7,0.0008172985395002018,0.00729011320470818
0.0004,9,-1.2390561633737082e-6,0.0012075203399283178,0.01076731951012159
0.0004,11,-1.771461121204372e-6,0.0016587303835873114,0.014785085101468249
0.0004,13,-2.481260577717931e-6,0.002217700854076896,0.019758325579896912
0.0004,15,-3.3872995733183846e-6,0.0028407335999881588,0.02529223113445464
