"g","info_rate","std","NClusters","Lmax"
0.0001,0.0035578561277024605,0.006724904002821745,30,2
0.0002,0.004585372804564234,0.006800447902233283,30,2
0.0003,NaN,0.006889267186101512,30,2
0.0004,0.003131408031530353,0.005834215800231247,30,2
0.0001,0.0030131359659299048,0.004701255979077499,40,2
0.0002,NaN,0.004643856097465121,40,2
0.0003,0.006156690609370961,0.004420171705673654,40,2
0.0004,0.002860582040504753,0.004621588812658517,40,2
0.0001,0.0014213951967553208,0.0029050203152068263,60,2
0.0002,0.004535666597758872,0.0031965828364515186,60,2
0.0003,NaN,0.0034771373290982213,60,2
0.0004,0.0064389632077655285,0.0034452742977991216,60,2
0.0001,0.004213138692091317,0.006174500871794755,30,3
0.0002,0.005787719610706485,0.0069447414429658835,30,3
0.0003,NaN,0.006867277216826508,30,3
0.0004,0.016614046053854744,0.005654950477132125,30,3
0.0001,0.006047200661669513,0.004063495229615329,40,3
0.0002,0.0030884288619541017,0.004492837295305339,40,3
0.0003,0.007185065332197501,0.004656324799578017,40,3
0.0004,0.003181424334484116,0.004687273080794815,40,3
0.0001,0.004626971867693751,0.003593726268536367,50,3
0.0002,0.006284418466030595,0.0036969636707332807,50,3
0.0003,0.003654778043674719,0.0036316308239893787,50,3
0.0004,0.0014772175498673822,0.003313091708920623,50,3
0.0001,NaN,0.0033214865111634725,60,3
0.0002,0.00035482630897685824,0.003059245873880269,60,3
0.0003,0.005474657026011514,0.0030838999761422002,60,3
0.0004,0.010652972659975514,0.0028632457878238577,60,3
0.0001,0.00033531802399408106,0.0023303243607117443,100,3
0.0002,0.003644018085627926,0.002289889057336613,100,3
0.0003,0.008866030726601859,0.0023710949432399044,100,3
0.0004,0.012421490091894872,0.002549785516114417,100,3
0.0001,0.0005101026720345659,0.0018225902255218555,200,3
0.0002,0.006555322528114538,0.002089905327492125,200,3
0.0003,0.01643338087775747,0.0021248514184262746,200,3
0.0004,0.03120989860725917,0.0020951523042069507,200,3
0.0001,0.002076029657356698,0.0015421215205052206,400,3
0.0002,0.009146155423424349,0.0017426051457876408,400,3
0.0003,0.021337999939427442,0.0020186529623496367,400,3
0.0004,0.042522278573179,0.0022361249516933478,400,3
0.0001,0.0005859716523206516,0.0073118759713510974,30,4
0.0002,0.010990968491251639,0.006529255222898691,30,4
0.0003,0.011386452527980448,0.006690470338154703,30,4
0.0004,0.0012879509153176474,0.006906977455968817,30,4
0.0001,0.004637478131770272,0.004476817453452725,40,4
0.0002,0.001025683562402406,0.004749794045925766,40,4
0.0003,0.002634706465442159,0.004014156277206144,40,4
0.0004,0.006092120524507534,0.004752677591482634,40,4
0.0001,0.005878716554429075,0.0029120745749622316,60,4
0.0002,0.010700810565429009,0.0030620205437913634,60,4
0.0003,0.00872027580059562,0.003481714011185141,60,4
0.0004,0.018030576644815683,0.003447076024524361,60,4
0.0001,NaN,0.005712758286617016,30,5
0.0002,NaN,0.00595651961204018,30,5
0.0003,0.006894834090699279,0.006337720635791083,30,5
0.0004,0.005820576344418597,0.0066076256105697265,30,5
0.0001,NaN,0.004089057961465937,40,5
0.0002,NaN,0.004176110247447077,40,5
0.0003,0.00561830988414948,0.0044793237886894075,40,5
0.0004,0.024508568247878882,0.004227769852441721,40,5
0.0001,0.0046853571199938614,0.003192492031374842,50,5
0.0002,0.009993003280614168,0.003347100351142789,50,5
0.0003,0.013139380952647349,0.003546364810857932,50,5
0.0004,0.019395134162995424,0.003516452118758632,50,5
0.0001,0.0069156991327956625,0.0032606407803932955,60,5
0.0002,0.010488706947358917,0.0033046285736352495,60,5
0.0003,0.017551537235225578,0.003219725988481679,60,5
0.0004,0.01945067024189637,0.003476576377915458,60,5
0.0001,0.0033899987038362722,0.0023452131413242796,100,5
0.0002,0.014353426787923309,0.0025600174510530503,100,5
0.0003,0.019656446449433897,0.002585468629468373,100,5
0.0004,0.03782601874721692,0.002873985055203954,100,5
0.0001,0.0027092688162044117,0.0018545831758807797,200,5
0.0002,0.018172974844673756,0.002167592521907549,200,5
0.0003,0.04160277784179044,0.002378279131922691,200,5
0.0004,0.06800523929414022,0.0029796353319416686,200,5
0.0001,0.011896226567885346,0.0018090286168391334,400,5
0.0002,0.03557911373966413,0.0020884987119871084,400,5
0.0003,0.07163139258080962,0.002504199237508935,400,5
0.0004,0.11173224801880458,0.0033827708263656996,400,5
0.0001,NaN,0.006651172869537298,30,6
0.0002,0.009770749880720814,0.007102643040892256,30,6
0.0003,NaN,0.006744709346682659,30,6
0.0004,0.015503535898991689,0.007182080925292605,30,6
0.0001,0.0006707705604625938,0.004856663769426483,40,6
0.0002,0.0011713854163480826,0.004528359803827007,40,6
0.0003,0.008880926353499038,0.00444889312441072,40,6
0.0004,0.0239293659435118,0.005085485745084968,40,6
0.0001,0.0005057918407415634,0.0030059259611295067,60,6
0.0002,0.006427875374870638,0.0031796524500959677,60,6
0.0003,0.016361758372318104,0.0033450705671167853,60,6
0.0004,0.030490654572318764,0.003943441167074607,60,6
0.0001,NaN,0.0034367809478614035,50,7
0.0002,0.011806695438315546,0.0032986001800720064,50,7
0.0003,0.019677049900658196,0.0037587283679503323,50,7
0.0004,0.04438325834657765,0.003854222153624369,50,7
0.0001,0.006929079551333699,0.0024525047701652006,100,7
0.0002,0.0184788486096646,0.0024826021308045686,100,7
0.0003,0.04198958263417658,0.0027997290562139553,100,7
0.0004,0.07545193705958574,0.003238351794503982,100,7
0.0001,0.007382295480596416,0.0019469040780086377,200,7
0.0002,0.028393425244043622,0.0022637558202712274,200,7
0.0003,0.06944368013774802,0.0025263818991600167,200,7
0.0004,0.12728974481190103,0.002912675155931821,200,7
0.0001,0.017292721270539196,0.001965698070934786,400,7
0.0002,0.06042747230940682,0.002535330664599428,400,7
0.0003,0.12004296499887636,0.003458436545149715,400,7
0.0004,0.19813799828467604,0.0038915098974156874,400,7
0.0001,0.0051833479164041605,0.0036240834999665414,50,9
0.0002,0.011978479029473648,0.003925249728393304,50,9
0.0003,0.038765523181263015,0.004319235578397629,50,9
0.0004,0.058411734061455556,0.004023697900996464,50,9
0.0001,0.008663093795757882,0.0026012537994868686,100,9
0.0002,0.030334014214617046,0.0026783627733254034,100,9
0.0003,0.0632114180745169,0.0035049570704365467,100,9
0.0004,0.1107473239007785,0.003932158775686034,100,9
0.0001,0.014860121677920158,0.0021560888014097593,200,9
0.0002,0.05223266340043058,0.0027315098519897717,200,9
0.0003,0.10883938274786513,0.0035552005768679025,200,9
0.0004,0.18965658889980763,0.003980714676617739,200,9
0.0001,0.02425038123461905,0.0019692257662844714,400,9
0.0002,0.09029125665879952,0.002680544010201404,400,9
0.0003,0.19049989900544886,0.003892474074166176,400,9
0.0004,0.28516363353738244,0.004926890592478924,400,9
0.0001,0.0021716563079339974,0.0035209962162975985,50,11
0.0002,0.021713499809312437,0.004055856330884325,50,11
0.0003,0.05302956585759529,0.0038002537534936836,50,11
0.0004,0.08630695659700792,0.004711697557611419,50,11
0.0001,0.01024884523514739,0.002412667671114663,100,11
0.0002,0.04904995007988979,0.0030699679278147042,100,11
0.0003,0.0930458780380064,0.003403470771556461,100,11
0.0004,0.1528156201076049,0.004592554225410737,100,11
0.0001,0.020625719436931693,0.00238532436735797,200,11
0.0002,0.07660578235212674,0.002863141215856401,200,11
0.0003,0.15381974770297785,0.003458758133636051,200,11
0.0004,0.2539826351770635,0.004322037915871978,200,11
0.0001,0.041716262121219136,0.002071116863425854,400,11
0.0002,0.1347298444632277,0.003367263146536204,400,11
0.0003,0.25983305365736714,0.004641496564387113,400,11
0.0004,0.38137168787052594,0.005368207960548413,400,11
0.0001,0.010883847285072744,0.003453739756594912,50,13
0.0002,0.03553914465606377,0.003955117789433172,50,13
0.0003,0.06707038947736711,0.004370050475507537,50,13
0.0004,0.12147336678553936,0.004743216714163535,50,13
0.0001,0.015765497960030718,0.0026129646176526627,100,13
0.0002,0.0548150453776318,0.003195818588323743,100,13
0.0003,0.12986508242754072,0.0037987686844686585,100,13
0.0004,0.20524602256566615,0.004273419026327507,100,13
0.0001,0.029893327413678106,0.0029213868228822456,200,13
0.0002,0.10258773114873163,0.003150145264309464,200,13
0.0003,0.21396716295583523,0.004007077793232308,200,13
0.0004,0.3307270699626748,0.005132430755594028,200,13
0.0001,0.04759268177139434,0.0022245978475618124,400,13
0.0002,0.1752566780910928,0.0034647245365131956,400,13
0.0003,0.33358817566321297,0.004689198668901637,400,13
0.0004,0.4926889178933455,0.005407218566780286,400,13
0.0001,0.010039321299798037,0.003672238325751133,50,15
0.0002,0.043857637364496806,0.004289179267056796,50,15
0.0003,0.08697663334296929,0.004510660516079697,50,15
0.0004,0.16472296528596325,0.0050720698026477055,50,15
0.0001,0.024966044103387965,0.0025894402072106403,100,15
0.0002,0.07574424795597504,0.0034994854487678554,100,15
0.0003,0.16602518969279179,0.0038698107577724732,100,15
0.0004,0.2643113545631173,0.004650750640749395,100,15
0.0001,0.038623717758952014,0.0023662163851543906,200,15
0.0002,0.136673321323081,0.003825464646932785,200,15
0.0003,0.2668210564924765,0.004270759825588011,200,15
0.0004,0.4084413856205977,0.005413248453843899,200,15
0.0001,0.06838345575207792,0.002734764713668365,400,15
0.0002,0.23053008068995592,0.004345903415012134,400,15
0.0003,0.41296118405918036,0.005777441311769584,400,15
0.0004,0.5990101196346187,0.0065295961519463005,400,15
